id,name,area,urban,agriculture,forest,unproductive
1,Aeugst am Albis,7.9,12.6,51.3,30.9,5.2
2,Affoltern am Albis,10.6,30.8,40.1,28.2,0.9
3,Bonstetten,7.5,15.6,55.4,28.6,0.4
4,Hausen am Albis,13.7,12.6,55.8,29.0,2.6
5,Hedingen,6.5,19.9,46.2,33.2,0.6
6,Kappel am Albis,7.8,8.3,70.0,20.6,1.1
7,Knonau,6.5,18.0,62.2,17.2,2.6
8,Maschwanden,4.7,9.0,59.6,23.7,7.7
9,Mettmenstetten,13.1,15.9,64.2,18.6,1.2
10,Obfelden,7.6,24.2,49.3,21.3,5.2
11,Ottenbach,5.0,20.9,55.2,19.9,4.0
12,Rifferswil,6.6,10.4,64.8,22.7,2.1
13,Stallikon,12.0,11.1,38.1,49.8,1.1
14,Wettswil am Albis,3.8,40.8,34.0,21.0,4.2
21,Adlikon,6.6,11.0,63.7,22.7,2.6
22,Benken (ZH),5.7,8.1,57.7,33.9,0.4
23,Berg am Irchel,7.1,5.0,48.2,45.3,1.6
24,Buch am Irchel,10.1,6.8,55.0,38.1,0.0
25,Dachsen,2.7,31.6,48.3,13.0,7.1
26,Dorf,5.5,12.5,46.4,41.0,0.2
27,Feuerthalen,2.5,42.8,11.2,44.0,2.0
28,Flaach,10.2,8.4,50.9,33.7,7.0
29,Flurlingen,2.4,22.9,17.1,56.7,3.3
30,Andelfingen,6.7,15.8,46.0,32.9,5.2
31,Henggart,3.1,22.9,56.2,19.9,1.0
32,Humlikon,3.7,9.5,62.5,27.7,0.3
33,Kleinandelfingen,10.3,13.2,50.1,32.8,3.8
34,Laufen-Uhwiesen,6.3,12.5,39.4,44.6,3.5
35,Marthalen,14.2,11.8,47.2,39.2,1.8
36,Oberstammheim,9.4,8.5,53.7,37.4,0.3
37,Ossingen,13.1,9.3,56.3,29.3,5.1
38,Rheinau,8.9,11.6,26.3,54.8,7.3
39,Thalheim an der Thur,6.4,9.0,65.5,21.4,4.0
40,Trüllikon,9.6,8.7,61.7,29.3,0.3
41,Truttikon,4.4,6.3,64.8,28.4,0.5
42,Unterstammheim,7.3,11.3,51.6,36.5,0.7
43,Volken,3.3,5.8,64.8,29.4,0.0
44,Waltalingen,7.3,7.6,62.8,28.8,0.8
51,Bachenbülach,4.3,23.8,34.0,39.2,3.0
52,Bassersdorf,9.0,30.7,37.6,30.9,0.8
53,Bülach,16.1,29.9,30.7,39.1,0.3
54,Dietlikon,4.2,47.4,21.3,30.6,0.7
55,Eglisau,9.1,17.4,34.1,41.2,7.3
56,Embrach,12.7,20.3,32.7,45.2,1.8
57,Freienstein-Teufen,8.3,9.7,38.7,49.5,2.2
58,Glattfelden,12.3,19.6,45.5,31.9,3.0
59,Hochfelden,6.2,9.6,42.4,44.9,3.1
60,Höri,4.8,19.1,58.9,12.6,9.4
61,Hüntwangen,4.9,23.9,42.2,32.0,1.8
62,Kloten,19.3,43.3,29.9,25.6,1.1
63,Lufingen,5.2,15.2,47.6,36.6,0.6
64,Nürensdorf,10.1,22.0,46.7,31.3,0.0
65,Oberembrach,10.2,6.9,58.5,34.3,0.3
66,Opfikon,5.6,62.2,20.0,15.5,2.3
67,Rafz,10.7,16.7,49.8,33.4,0.1
68,Rorbas,4.5,15.5,34.5,46.9,3.1
69,Wallisellen,6.5,56.7,21.4,20.9,1.1
70,Wasterkingen,3.9,7.4,49.2,43.1,0.3
71,Wil (ZH),9.0,15.3,53.2,30.2,1.3
72,Winkel,8.1,21.5,44.0,27.5,7.0
81,Bachs,9.2,6.0,49.0,44.5,0.5
82,Boppelsen,3.9,12.5,40.3,45.9,1.3
83,Buchs (ZH),5.9,26.2,46.8,25.9,1.2
84,Dällikon,4.5,23.9,42.4,32.6,1.1
85,Dänikon,2.8,19.3,47.1,31.4,2.1
86,Dielsdorf,5.9,34.9,33.4,29.8,1.9
87,Hüttikon,1.6,15.0,48.8,36.3,0.0
88,Neerach,6.0,19.2,61.8,5.7,13.3
89,Niederglatt,3.6,33.1,55.3,7.8,3.9
90,Niederhasli,11.3,21.6,55.3,21.2,1.9
91,Niederweningen,6.9,14.1,46.1,39.1,0.7
92,Oberglatt,8.2,31.2,49.7,10.6,8.5
93,Oberweningen,4.9,10.7,33.8,55.3,0.2
94,Otelfingen,7.2,25.1,36.8,37.2,1.0
95,Regensberg,2.4,9.2,34.0,55.5,1.3
96,Regensdorf,14.6,31.9,42.1,23.8,2.3
97,Rümlang,12.5,29.3,46.5,21.4,2.8
98,Schleinikon,5.7,6.7,49.2,43.5,0.5
99,Schöfflisdorf,4.0,11.5,42.4,45.9,0.3
100,Stadel,12.9,11.3,57.3,30.5,0.9
101,Steinmaur,9.5,13.7,56.4,29.3,0.6
102,Weiach,9.6,11.9,34.6,50.1,3.4
111,Bäretswil,22.2,8.6,49.6,39.3,2.5
112,Bubikon,11.6,21.0,60.5,12.4,6.1
113,Dürnten,10.2,22.6,59.3,16.7,1.5
114,Fischenthal,30.2,4.6,32.5,61.7,1.3
115,Gossau (ZH),18.3,19.0,66.4,14.1,0.5
116,Grüningen,8.8,16.1,61.6,20.0,2.3
117,Hinwil,22.3,19.6,51.8,26.7,1.8
118,Rüti (ZH),10.1,29.6,34.6,33.9,1.9
119,Seegräben,3.8,16.2,48.3,16.7,18.8
120,Wald (ZH),25.2,13.0,52.9,33.2,1.0
121,Wetzikon (ZH),16.7,31.4,39.0,16.6,13.0
131,Adliswil,7.8,45.9,20.9,31.2,2.1
132,Hirzel,9.7,11.3,66.1,17.9,4.6
133,Horgen,21.1,21.8,26.4,49.3,2.6
134,Hütten,7.2,5.5,54.0,36.2,4.3
135,Kilchberg (ZH),2.6,74.2,24.2,1.2,0.4
136,Langnau am Albis,8.7,25.2,25.8,47.5,1.5
137,Oberrieden,2.8,43.0,11.9,42.2,2.9
138,Richterswil,7.6,41.2,50.7,7.2,0.9
139,Rüschlikon,2.9,59.6,17.8,21.9,0.7
140,Schönenberg (ZH),11.0,10.2,76.5,11.0,2.4
141,Thalwil,5.5,60.3,14.9,22.7,2.2
142,Wädenswil,17.4,30.9,58.6,8.9,1.6
151,Erlenbach (ZH),3.0,54.4,20.6,24.3,0.7
152,Herrliberg,9.0,23.3,52.3,23.7,0.7
153,Hombrechtikon,12.2,21.5,57.6,14.5,6.4
154,Küsnacht (ZH),12.3,33.8,34.1,31.2,0.9
155,Männedorf,4.8,46.5,29.7,23.4,0.4
156,Meilen,11.9,28.9,45.4,24.2,1.5
157,Oetwil am See,6.1,22.9,64.4,12.2,0.5
158,Stäfa,8.6,38.7,41.8,18.2,1.3
159,Uetikon am See,3.5,43.3,40.2,16.0,0.6
160,Zumikon,5.5,43.8,28.6,27.2,0.4
161,Zollikon,7.9,41.7,20.4,37.9,0.0
171,Bauma,20.8,9.3,35.8,53.3,1.5
172,Fehraltorf,9.5,19.1,52.7,26.9,1.3
173,Hittnau,13.0,13.1,48.1,37.3,1.5
174,Illnau-Effretikon,25.3,18.1,51.3,29.3,1.2
175,Kyburg,7.6,4.5,32.6,61.4,1.6
176,Lindau,11.9,23.0,41.8,34.8,0.4
177,Pfäffikon,19.5,17.5,42.2,22.8,17.4
178,Russikon,14.3,12.3,50.2,36.1,1.3
179,Sternenberg,8.7,4.4,39.1,56.1,0.3
180,Weisslingen,12.8,11.5,42.8,44.5,1.3
181,Wila,9.2,10.1,37.1,49.7,3.1
182,Wildberg,10.6,8.6,51.3,36.4,3.7
191,Dübendorf,13.6,43.2,35.5,20.3,1.0
192,Egg,14.5,18.8,57.2,23.0,1.0
193,Fällanden,6.4,32.4,36.3,27.5,3.7
194,Greifensee,2.3,47.6,33.5,9.0,9.9
195,Maur,14.8,22.4,51.5,25.4,0.6
196,Mönchaltorf,7.6,18.6,65.5,11.4,4.5
197,Schwerzenbach,2.7,41.4,37.6,6.4,14.7
198,Uster,28.5,28.8,40.7,26.7,3.7
199,Volketswil,14.0,36.9,37.5,24.1,1.6
200,Wangen-Brüttisellen,7.9,30.2,43.7,25.5,0.5
211,Altikon,7.7,6.1,68.4,19.9,5.6
213,Brütten,6.7,10.1,59.8,29.9,0.2
214,Dägerlen,8.0,7.8,66.6,25.2,0.4
215,Dättlikon,2.9,10.7,42.8,43.8,2.8
216,Dinhard,7.1,10.6,68.6,19.9,0.8
217,Elgg,15.6,12.4,45.6,41.5,0.6
218,Ellikon an der Thur,5.0,12.4,67.2,20.0,0.4
219,Elsau,8.0,19.0,55.8,24.5,0.6
220,Hagenbuch,8.2,9.8,61.3,28.4,0.5
221,Hettlingen,5.8,17.1,59.1,22.8,1.0
222,Hofstetten (ZH),8.9,4.5,49.3,46.1,0.1
223,Neftenbach,15.1,15.6,53.7,29.8,0.9
224,Pfungen,5.0,24.8,31.9,41.1,2.2
225,Rickenbach (ZH),6.1,15.8,59.9,22.9,1.3
226,Schlatt (ZH),9.1,6.5,46.6,45.6,1.3
227,Seuzach,7.6,31.1,43.4,25.0,0.5
228,Turbenthal,25.2,7.2,34.7,57.3,0.9
230,Winterthur,68.1,33.6,24.8,40.5,1.1
231,Zell (ZH),13.0,14.0,41.2,42.4,2.3
241,Aesch (ZH),5.2,9.2,57.5,33.1,0.2
242,Birmensdorf (ZH),11.4,24.5,36.8,37.4,1.2
243,Dietikon,9.3,50.3,16.3,26.8,6.6
244,Geroldswil,1.9,47.9,20.0,24.2,7.9
245,Oberengstringen,2.1,50.5,20.1,25.2,4.2
246,Oetwil an der Limmat,2.8,20.6,36.5,38.3,4.7
247,Schlieren,6.5,51.7,17.6,29.2,1.5
248,Uitikon,4.4,30.8,36.5,32.6,0.0
249,Unterengstringen,3.4,42.7,27.9,25.5,3.9
250,Urdorf,7.6,34.5,32.2,32.2,1.1
251,Weiningen (ZH),5.4,28.9,31.9,38.3,0.9
261,Zürich,87.9,61.9,10.1,26.2,1.7
298,Wiesendangen,19.1,16.0,61.0,22.9,0.2
301,Aarberg,7.9,23.5,44.3,29.5,2.7
302,Bargen (BE),7.9,7.0,70.5,18.6,3.9
303,Grossaffoltern,15.1,10.9,62.3,26.0,0.8
304,Kallnach,15.2,7.9,69.0,19.8,3.3
305,Kappelen,10.9,10.9,73.9,14.3,0.8
306,Lyss,14.9,32.3,34.5,32.7,0.5
307,Meikirch,10.3,9.4,64.0,26.5,0.1
309,Radelfingen,14.7,6.7,57.8,31.5,4.0
310,Rapperswil (BE),20.4,8.3,64.5,26.9,0.3
311,Schüpfen,19.8,10.8,55.8,32.9,0.5
312,Seedorf (BE),20.9,7.7,59.6,32.4,0.3
321,Aarwangen,9.9,15.0,45.6,36.2,3.2
322,Auswil,4.6,5.0,83.5,11.3,0.2
323,Bannwil,4.8,8.8,46.3,39.6,5.3
324,Bleienbach,5.7,8.3,57.1,33.0,1.6
325,Busswil bei Melchnau,2.8,6.0,52.8,41.2,0.0
326,Gondiswil,9.4,5.9,69.3,24.4,0.4
329,Langenthal,17.3,29.6,32.0,38.2,0.2
331,Lotzwil,6.2,15.4,47.4,37.1,0.2
332,Madiswil,23.2,7.1,62.8,29.8,0.3
333,Melchnau,10.4,7.7,57.1,35.0,0.2
334,Obersteckholz,3.9,5.6,66.5,27.9,0.0
335,Oeschenbach,3.9,5.1,64.4,30.0,0.5
336,Reisiswil,2.0,5.1,64.5,29.9,0.5
337,Roggwil (BE),7.8,25.7,45.3,28.1,0.9
338,Rohrbach,4.1,16.0,63.3,20.2,0.5
339,Rohrbachgraben,6.5,2.9,69.1,27.8,0.2
340,Rütschelen,4.0,7.0,56.1,36.8,0.0
341,Schwarzhäusern,3.8,10.4,52.5,34.1,2.9
342,Thunstetten,9.7,19.7,53.7,26.1,0.4
344,Ursenbach,9.1,5.8,62.9,31.1,0.2
345,Wynau,5.1,17.8,37.3,39.6,5.3
351,Bern,51.6,45.1,19.0,33.6,2.4
352,Bolligen,16.6,12.4,43.3,44.0,0.3
353,Bremgarten bei Bern,1.9,46.3,32.4,16.5,4.8
354,Kirchlindach,11.9,8.5,66.9,23.7,0.9
355,Köniz,51.1,18.4,50.5,30.8,0.4
356,Muri bei Bern,7.7,49.5,26.1,21.8,2.5
357,Oberbalm,12.4,4.6,74.3,20.9,0.2
358,Stettlen,3.6,22.3,51.0,26.5,0.3
359,Vechigen,24.8,8.5,60.8,30.4,0.2
360,Wohlen bei Bern,36.2,8.3,54.7,32.7,4.3
361,Zollikofen,5.4,42.0,44.2,12.6,1.3
362,Ittigen,4.2,60.3,24.5,14.3,1.0
363,Ostermundigen,6.0,42.6,31.8,25.4,0.2
371,Biel/Bienne,21.3,45.4,8.0,45.3,1.3
372,Evilard,3.6,29.4,30.2,40.4,0.0
381,Arch,6.4,15.9,51.3,27.3,5.5
382,Büetigen,3.6,9.9,62.7,26.5,0.8
383,Büren an der Aare,12.6,11.7,46.2,34.4,7.6
385,Diessbach bei Büren,6.3,7.8,59.9,32.3,0.0
386,Dotzigen,4.2,14.9,55.7,26.1,3.3
387,Lengnau (BE),7.3,21.9,39.6,36.3,2.2
388,Leuzigen,10.3,11.3,45.6,39.8,3.3
389,Meienried,0.7,3.0,70.1,16.4,10.4
390,Meinisberg,4.5,14.8,54.2,24.9,6.1
391,Oberwil bei Büren,6.7,8.5,55.9,35.7,0.0
392,Pieterlen,8.3,19.6,31.1,47.2,2.0
393,Rüti bei Büren,6.5,9.5,49.1,37.8,3.5
394,Wengi,7.1,7.6,72.9,16.7,2.7
401,Aefligen,2.1,22.4,69.3,3.4,4.9
402,Alchenstorf,6.6,7.7,60.3,31.7,0.3
403,Bäriswil,2.8,11.9,45.8,41.5,0.7
404,Burgdorf,15.6,31.4,25.1,40.8,2.7
405,Ersigen,8.7,9.5,58.6,31.7,0.2
406,Hasle bei Burgdorf,21.9,7.7,58.8,32.6,0.9
407,Heimiswil,23.4,5.0,61.1,33.7,0.2
408,Hellsau,1.5,6.6,70.2,23.2,0.0
409,Hindelbank,6.7,16.4,60.9,22.2,0.6
410,Höchstetten,2.6,7.3,71.9,20.0,0.8
411,Kernenried,3.3,14.8,60.2,23.8,1.2
412,Kirchberg (BE),9.1,21.2,44.6,32.5,1.7
413,Koppigen,6.9,17.2,59.0,23.1,0.7
414,Krauchthal,19.4,7.0,42.6,49.7,0.6
415,Lyssach,6.1,14.7,53.0,31.4,1.0
416,Mötschwil,2.9,5.5,64.0,30.5,0.0
417,Niederösch,4.6,5.0,68.4,26.6,0.0
418,Oberburg,14.2,10.5,55.7,33.2,0.6
